Area,Years,Subscribers
United States and Canada,2018,64700000
"Europe,  Middle East and Africa",2018,37800000
Latin America,2018,26000000
Asia-Pacific,2018,10600000
United States and Canada,2019,67600000
"Europe,  Middle East and Africa",2019,51700000
Latin America,2019,31400000
Asia-Pacific,2019,16200000
United States and Canada,2020,73900000
"Europe,  Middle East and Africa",2020,66700000
Latin America,2020,37500000
Asia-Pacific,2020,25400000
United States and Canada,2021,75200000
"Europe,  Middle East and Africa",2021,74000000
Latin America,2021,39900000
Asia-Pacific,2021,32600000
United States and Canada,2022,73390000
"Europe,  Middle East and Africa",2022,73530000
Latin America,2022,39940000
Asia-Pacific,2022,36320000
